,csp1,csp2,csp3
353,0.000,0.000,0.000
354,0.000,0.000,0.000
355,0.000,0.000,0.000
356,0.000,0.000,0.000
357,0.000,0.000,0.000
358,0.000,0.000,0.000
359,0.000,0.000,0.000
360,0.000,0.000,0.000
361,0.000,0.000,0.000
362,0.000,0.000,0.000
363,0.000,0.000,0.000
364,0.000,0.000,0.000
365,0.000,0.000,0.000
366,0.000,0.000,0.000
367,33.786,0.000,0.000
368,282.076,0.000,0.000
369,437.321,20.220,30.282
370,519.064,0.000,165.535
371,535.865,0.000,281.331
372,529.821,0.000,320.681
373,493.070,0.000,255.683
374,341.266,0.000,123.715
375,89.661,0.000,2.653
376,0.000,0.000,0.000
377,0.000,0.000,0.000
378,0.000,0.000,0.000
379,0.000,0.000,0.000
380,0.000,0.000,0.000
381,0.000,0.000,0.000
382,0.000,0.000,0.000
383,0.000,0.000,0.000
384,0.000,0.000,0.000
385,0.000,0.000,0.000
386,0.000,0.000,0.000
387,0.000,0.000,0.000
388,0.000,0.000,0.000
389,0.000,0.000,0.000
390,0.000,0.000,0.000
391,52.162,0.000,0.000
392,215.786,21.503,0.000
393,430.696,70.293,36.864
394,530.095,10.843,196.792
395,545.246,64.834,302.331
396,537.099,0.000,334.738
397,472.064,0.000,285.606
398,353.443,0.000,161.978
399,107.443,0.000,11.371
400,0.000,0.000,0.000
401,0.000,0.000,0.000
402,0.000,0.000,0.000
403,0.000,0.000,0.000
404,0.000,0.000,0.000
405,0.000,0.000,0.000
406,0.000,0.000,0.000
407,0.000,0.000,0.000
408,0.000,0.000,0.000
409,0.000,0.000,0.000
410,0.000,0.000,0.000
411,0.000,0.000,0.000
412,0.000,0.000,0.000
413,0.000,0.000,0.000
414,0.000,10.922,0.000
415,37.379,161.238,0.000
416,281.951,302.085,0.000
417,460.909,385.677,25.060
418,527.679,369.832,181.883
419,538.521,325.258,265.003
420,527.007,186.160,323.970
421,472.133,26.861,273.990
422,347.820,0.000,153.533
423,127.495,0.000,3.899
424,0.000,0.000,0.000
425,0.000,0.000,0.000
426,0.000,0.000,0.000
427,0.000,0.000,0.000
428,0.000,0.000,0.000
429,0.000,0.000,0.000
430,0.000,0.000,0.000
431,0.000,0.000,0.000
432,0.000,0.000,0.000
433,0.000,0.000,0.000
434,0.000,0.000,0.000
435,0.000,0.000,0.000
436,0.000,0.000,0.000
437,0.000,0.000,0.000
438,0.000,17.297,0.000
439,39.791,193.277,0.000
440,286.024,317.414,0.000
441,443.767,376.292,22.920
442,522.064,312.623,184.976
443,533.580,74.631,295.222
444,524.122,0.000,326.879
445,465.453,0.000,277.296
446,345.540,0.000,157.730
447,132.290,0.000,9.274
448,0.000,0.000,0.000
449,0.000,0.000,0.000
450,0.000,0.000,0.000
451,0.000,0.000,0.000
452,0.000,0.000,0.000
453,0.000,0.000,0.000
454,0.000,0.000,0.000
455,0.000,0.000,0.000
456,0.000,0.000,0.000
457,0.000,0.000,0.000
458,0.000,0.000,0.000
459,0.000,0.000,0.000
460,0.000,0.000,0.000
461,0.000,0.000,0.000
462,0.000,0.000,0.000
463,32.777,146.325,0.000
464,259.372,304.371,0.000
465,428.626,284.474,72.050
466,475.098,337.241,224.206
467,447.768,236.976,301.790
468,503.333,103.901,323.138
469,475.811,0.000,286.836
470,329.556,0.000,189.695
471,140.014,0.000,34.034
472,0.000,0.000,0.000
473,0.000,0.000,0.000
474,0.000,0.000,0.000
475,0.000,0.000,0.000
476,0.000,0.000,0.000
477,0.000,0.000,0.000
478,0.000,0.000,0.000
479,0.000,0.000,0.000
480,0.000,0.000,0.000
481,0.000,0.000,0.000
482,0.000,0.000,0.000
483,0.000,0.000,0.000
484,0.000,0.000,0.000
485,0.000,0.000,0.000
486,0.000,0.000,0.000
487,13.146,83.385,0.000
488,222.284,168.403,0.000
489,381.125,40.572,69.044
490,490.704,107.925,215.570
491,506.595,48.372,292.054
492,486.921,32.977,315.715
493,466.265,0.000,276.712
494,328.131,0.000,186.297
495,110.327,0.000,33.321
496,0.000,0.000,0.000
497,0.000,0.000,0.000
498,0.000,0.000,0.000
499,0.000,0.000,0.000
500,0.000,0.000,0.000
501,0.000,0.000,0.000
502,0.000,0.000,0.000
503,0.000,0.000,0.000
504,0.000,0.000,0.000
505,0.000,0.000,0.000
506,0.000,0.000,0.000
507,0.000,0.000,0.000
508,0.000,0.000,0.000
509,0.000,0.000,0.000
510,0.000,0.000,0.000
511,34.522,83.223,0.000
512,256.357,141.978,0.000
513,436.944,71.338,73.095
514,518.669,43.590,219.138
515,520.615,0.000,295.564
516,522.445,0.000,316.880
517,456.508,0.000,281.710
518,331.151,0.000,189.299
519,134.321,0.000,36.054
520,0.000,0.000,0.000
521,0.000,0.000,0.000
522,0.000,0.000,0.000
523,0.000,0.000,0.000
524,0.000,0.000,0.000
525,0.000,0.000,0.000
526,0.000,0.000,0.000
527,0.000,0.000,0.000
528,0.000,0.000,0.000
529,0.000,0.000,0.000
530,0.000,0.000,0.000
531,0.000,0.000,0.000
532,0.000,0.000,0.000
533,0.000,0.000,0.000
534,0.000,0.000,0.000
535,37.691,0.000,0.000
536,281.930,0.000,0.000
537,442.577,0.000,68.190
538,529.525,1.067,220.098
539,541.120,0.000,297.762
540,528.918,0.000,302.287
541,473.203,0.000,277.445
542,357.336,0.000,170.200
543,141.858,0.000,28.167
544,0.000,0.000,0.000
545,0.000,0.000,0.000
546,0.000,0.000,0.000
547,0.000,0.000,0.000
548,0.000,0.000,0.000
549,0.000,0.000,0.000
550,0.000,0.000,0.000
551,0.000,0.000,0.000
552,0.000,0.000,0.000
553,0.000,0.000,0.000
554,0.000,0.000,0.000
555,0.000,0.000,0.000
556,0.000,0.000,0.000
557,0.000,0.000,0.000
558,0.000,1.380,0.000
559,40.365,152.242,0.000
560,283.055,291.154,0.000
561,445.356,375.958,51.471
562,527.825,397.113,214.947
563,542.049,348.332,294.303
564,532.011,215.143,321.142
565,477.552,38.171,280.490
566,360.943,0.000,190.243
567,147.059,0.000,38.724
568,0.000,0.000,0.000
569,0.000,0.000,0.000
570,0.000,0.000,0.000
571,0.000,0.000,0.000
572,0.000,0.000,0.000
573,0.000,0.000,0.000
574,0.000,0.000,0.000
575,0.000,0.000,0.000
576,0.000,0.000,0.000
577,0.000,0.000,0.000
578,0.000,0.000,0.000
579,0.000,0.000,0.000
580,0.000,0.000,0.000
581,0.000,0.000,0.000
582,0.000,0.000,0.000
583,39.979,0.000,0.000
584,284.083,0.000,0.000
585,443.769,0.000,80.472
586,529.175,0.000,220.455
587,544.893,0.000,301.888
588,538.973,0.000,243.996
589,484.746,0.000,264.502
590,370.898,0.000,116.072
591,155.430,0.000,0.000
592,0.000,0.000,0.000
593,0.000,0.000,0.000
594,0.000,0.000,0.000
595,0.000,0.000,0.000
596,0.000,0.000,0.000
597,0.000,0.000,0.000
598,0.000,0.000,0.000
599,0.000,0.000,0.000
600,0.000,0.000,0.000
601,0.000,0.000,0.000
602,0.000,0.000,0.000
603,0.000,0.000,0.000
604,0.000,0.000,0.000
605,0.000,0.000,0.000
606,0.000,0.000,0.000
607,35.838,0.000,0.000
608,289.247,143.850,0.000
609,448.442,352.577,66.313
610,532.287,296.160,214.953
611,543.243,266.649,293.453
612,543.358,74.306,292.009
613,487.139,0.000,235.337
614,372.132,0.000,146.157
615,151.503,0.000,0.000
616,0.000,0.000,0.000
617,0.000,0.000,0.000
618,0.000,0.000,0.000
619,0.000,0.000,0.000
620,0.000,0.000,0.000
621,0.000,0.000,0.000
622,0.000,0.000,0.000
623,0.000,0.000,0.000
624,0.000,0.000,0.000
625,0.000,0.000,0.000
626,0.000,0.000,0.000
627,0.000,0.000,0.000
628,0.000,0.000,0.000
629,0.000,0.000,0.000
630,0.000,0.000,0.000
631,35.034,52.097,0.000
632,281.094,75.923,0.000
633,437.617,313.364,16.431
634,523.191,341.417,176.212
635,535.912,261.205,299.297
636,524.039,153.880,326.294
637,474.615,12.323,270.410
638,361.594,0.000,109.723
639,152.646,0.000,0.000
640,0.000,0.000,0.000
641,0.000,0.000,0.000
642,0.000,0.000,0.000
643,0.000,0.000,0.000
644,0.000,0.000,0.000
