,X1,X2,X3
246,-4.40829755,-301.2509533,-75.70949996
247,-4.884330759,-465.8612081,-68.45437376
248,-4.5911258,-398.2355141,-43.19862901
249,-4.225329582,-322.3465845,-30.93239997
250,-5.024297755,-284.0824475,-26.64436811
251,-4.201834863,-241.7382756,-25.90900549
252,-3.792441751,-228.1977971,-29.6510405
253,-3.51775216,-202.6120595,-23.17119855
254,-3.260642255,-185.3062603,-20.86708144
255,-3.254611517,-202.0866287,-20.47531912
256,-3.179327472,-183.4172506,-22.70674637
257,-3.746312306,-224.078264,-23.68329852
258,-3.0171052,-342.2819723,-29.94034226
259,-2.80988145,-299.6466768,-31.51945445
260,-2.83518524,-333.0906237,-37.56400198
261,-2.830756632,-380.7970793,-40.14893199
262,-3.069051721,-333.5029664,-0.860351341
263,-3.173251564,-236.5126906,-0.0156
264,-3.237827901,-119.3621826,-0.860352794
265,-3.549096975,-96.27134365,-0.0156
266,-3.820340527,-92.76392808,-0.0156
267,-4.086291335,-90.55793017,-0.860353496
268,-4.277475213,-116.1684763,-0.0156
269,-4.529686008,-184.5866179,-0.860402637
270,-5.276994514,-302.3014032,-79.21918659
271,-5.083387748,-480.8487954,-78.9598272
272,-4.971230499,-413.1942983,-49.99602117
273,-4.566584284,-330.5932984,-32.25502041
274,-4.671342673,-264.4732653,-21.31202131
275,-3.468719525,-162.7435949,-15.85631431
276,-3.007139629,-159.1477603,-20.42193516
277,-2.818204566,-174.2956353,-16.07814177
278,-2.59044411,-178.9722697,-13.94896808
279,-2.584040669,-188.5851183,-16.25369545
280,-2.631597408,-178.9245924,-19.8540529
281,-3.419992703,-257.0841416,-26.34269724
282,-2.79402828,-378.6917468,-33.55393295
283,-2.60946383,-297.4060151,-31.54999375
284,-2.519985055,-268.1833055,-35.50689118
285,-2.519752979,-351.7704878,-35.80298406
286,-2.679479511,-308.9820689,-0.860396604
287,-2.851392917,-227.0835363,-0.0156
288,-3.099197738,-132.5869368,-0.860348683
289,-3.41657891,-107.18299,-0.0156
290,-3.700280542,-97.34209957,-0.860350976
291,-3.888410135,-94.05807934,-0.0156
292,-3.849775681,-117.3810781,-0.860352653
293,-4.092194894,-183.9361573,-0.0156
294,-4.240267628,-303.3104007,-70.0645262
295,-4.592721185,-458.4404422,-57.09705663
296,-4.212029702,-366.739255,-33.78581129
297,-3.997761321,-282.9184338,-28.21490226
298,-4.488861644,-237.7720851,-23.04646261
299,-3.396613214,-178.0890574,-16.93526498
300,-2.964450088,-164.2360892,-22.09560233
301,-2.780970522,-159.0671212,-17.25762442
302,-2.586752577,-167.0124936,-15.26899867
303,-2.312738473,-168.3681417,-13.2518177
304,-2.283235289,-138.6789848,-14.94454802
305,-2.708327789,-188.3339092,-18.64365703
306,-2.108446397,-311.3036603,-23.1788415
307,-1.883663214,-237.2172692,-24.68031552
308,-1.975596076,-255.1816461,-31.15290539
309,-2.051665448,-358.5414358,-33.43040909
310,-2.109299313,-279.2012688,-0.0156
311,-2.296680012,-187.5222918,-0.860353694
312,-2.48422415,-153.7405282,-0.0156
313,-2.641269152,-112.8925899,-0.860348806
314,-2.771533553,-102.617199,-0.0156
315,-2.859579084,-95.68528807,-0.860351149
316,-2.955908102,-116.6472972,-0.0156
317,-3.145440178,-136.3652307,-0.860472375
318,-3.375116418,-185.8404306,-56.48749681
319,-3.680316874,-308.3281165,-50.32240263
320,-3.311440448,-435.9895147,-37.28853814
321,-3.291557234,-330.5151443,-34.88279692
322,-3.557150544,-267.5154192,-33.53805675
323,-2.948867931,-220.6840874,-31.63862114
324,-2.662915125,-167.2027843,-29.59133329
325,-2.484244698,-171.0406908,-28.26041432
326,-2.369678084,-167.9288234,-38.7714962
327,-2.161607333,-184.2405426,-41.874554
328,-2.204101501,-159.7404285,-46.30260508
329,-2.875153251,-193.6956859,-50.82937942
330,-2.225515568,-213.7931569,-0.86043234
331,-2.010638629,-256.1374767,-0.0156
332,-1.976466396,-253.8177893,-0.860419961
333,-2.023302071,-250.3329974,-0.860498105
334,-2.109504927,-345.5221473,-0.0156
335,-2.292967765,-234.756362,-0.860349843
336,-2.453908511,-154.6488455,-0.0156
337,-2.522536774,-114.0771279,-0.0156
338,-2.540190742,-93.98936423,-0.860166006
339,-2.768173088,-95.26273961,-0.0156
340,-2.849572056,-117.8468854,-0.86031555
341,-3.0070869,-136.7883744,-0.0156
342,-3.206921524,-185.5633758,-0.860316334
343,-3.473129108,-307.8171693,-0.0156
344,-3.245716257,-434.9193186,-0.0156
345,-3.076057577,-325.0789771,-0.860316622
346,-3.403481851,-251.7205534,-0.0156
347,-2.805913296,-207.5222718,-0.860389874
348,-2.472848946,-159.905884,-0.0156
349,-1.97541305,-166.9906975,-0.860484988
350,-1.970753277,-164.5941878,-0.860383343
351,-1.996482245,-176.8381857,-0.0156
352,-2.117943647,-164.0449207,-0.0156
