,X1,X2,X3
523,0,0,0
524,0,0,0
525,0,0,0
526,0,0,0
527,0,0,0
528,0,0,0
529,0,0,0
530,0,0,0
531,0,0,0
532,0,0,0
533,0,0,0
534,0,0,0
535,0,0,0
536,0.047,0.047,0.047
537,0.097,0.097,0.097
538,0.063,0.063,0.063
539,0.07,0.07,0.07
540,0.084,0.084,0.084
541,0.459,0.459,0.459
542,0.473,0.473,0.473
543,0.206,0.206,0.206
544,0.017,0.017,0.017
545,0,0,0
546,0,0,0
547,0,0,0
548,0,0,0
549,0,0,0
550,0,0,0
551,0,0,0
552,0,0,0
553,0,0,0
554,0,0,0
555,0,0,0
556,0,0,0
557,0,0,0
558,0,0,0
559,0,0,0
560,0.003,0.003,0.003
561,0.067,0.067,0.067
562,0.184,0.184,0.184
563,0.358,0.358,0.358
564,0.49,0.49,0.49
565,0.459,0.459,0.459
566,0.339,0.339,0.339
567,0.122,0.122,0.122
568,0.005,0.005,0.005
569,0,0,0
570,0,0,0
571,0,0,0
572,0,0,0
573,0,0,0
574,0,0,0
575,0,0,0
576,0,0,0
577,0,0,0
578,0,0,0
579,0,0,0
580,0,0,0
581,0,0,0
582,0,0,0
583,0,0,0
584,0.014,0.014,0.014
585,0.039,0.039,0.039
586,0.114,0.114,0.114
587,0.23,0.23,0.23
588,0.38,0.38,0.38
589,0.357,0.357,0.357
590,0.336,0.336,0.336
591,0.045,0.045,0.045
592,0.01,0.01,0.01
593,0,0,0
594,0,0,0
595,0,0,0
596,0,0,0
597,0,0,0
598,0,0,0
599,0,0,0
600,0,0,0
601,0,0,0
602,0,0,0
603,0,0,0
604,0,0,0
605,0,0,0
606,0,0,0
607,0,0,0
608,0.004,0.004,0.004
609,0.021,0.021,0.021
610,0.038,0.038,0.038
611,0.041,0.041,0.041
612,0.039,0.039,0.039
613,0.066,0.066,0.066
614,0.078,0.078,0.078
615,0.086,0.086,0.086
616,0.004,0.004,0.004
617,0,0,0
618,0,0,0
619,0,0,0
620,0,0,0
621,0,0,0
622,0,0,0
623,0,0,0
624,0,0,0
625,0,0,0
626,0,0,0
627,0,0,0
628,0,0,0
629,0,0,0
630,0,0,0
631,0,0,0
632,0.007,0.007,0.007
633,0.046,0.046,0.046
634,0.104,0.104,0.104
635,0.185,0.185,0.185
636,0.299,0.299,0.299
637,0.334,0.334,0.334
638,0.055,0.055,0.055
639,0.062,0.062,0.062
640,0.031,0.031,0.031
641,0,0,0
642,0,0,0
643,0,0,0
644,0,0,0
645,0,0,0
646,0,0,0
647,0,0,0
648,0,0,0
649,0,0,0
650,0,0,0
651,0,0,0
652,0,0,0
653,0,0,0
654,0,0,0
655,0,0,0
656,0.009,0.009,0.009
657,0.077,0.077,0.077
658,0.177,0.177,0.177
659,0.419,0.419,0.419
660,0.198,0.198,0.198
661,0.437,0.437,0.437
662,0.413,0.413,0.413
663,0.288,0.288,0.288
664,0.054,0.054,0.054
665,0,0,0
666,0,0,0
667,0,0,0
668,0,0,0
669,0,0,0
670,0,0,0
671,0,0,0
672,0,0,0
673,0,0,0
674,0,0,0
675,0,0,0
676,0,0,0
677,0,0,0
678,0,0,0
679,0,0,0
680,0.009,0.009,0.009
681,0.051,0.051,0.051
682,0.174,0.174,0.174
683,0.183,0.183,0.183
684,0.166,0.166,0.166
685,0.167,0.167,0.167
686,0.098,0.098,0.098
687,0.033,0.033,0.033
688,0.007,0.007,0.007
689,0,0,0
690,0,0,0
691,0,0,0
692,0,0,0
693,0,0,0
694,0,0,0
695,0,0,0
696,0,0,0
697,0,0,0
698,0,0,0
699,0,0,0
700,0,0,0
701,0,0,0
702,0,0,0
703,0,0,0
704,0.025,0.025,0.025
705,0.056,0.056,0.056
706,0.058,0.058,0.058
707,0.09,0.09,0.09
708,0.123,0.123,0.123
709,0.088,0.088,0.088
710,0.063,0.063,0.063
711,0.107,0.107,0.107
712,0.021,0.021,0.021
713,0,0,0
714,0,0,0
715,0,0,0
716,0,0,0
717,0,0,0
718,0,0,0
719,0,0,0
720,0,0,0
721,0,0,0
722,0,0,0
723,0,0,0
724,0,0,0
725,0,0,0
726,0,0,0
727,0,0,0
728,0.018,0.018,0.018
729,0.087,0.087,0.087
730,0.102,0.102,0.102
731,0.102,0.102,0.102
732,0.062,0.062,0.062
733,0.048,0.048,0.048
734,0.04,0.04,0.04
735,0.023,0.023,0.023
736,0.007,0.007,0.007
737,0,0,0
738,0,0,0
739,0,0,0
740,0,0,0
741,0,0,0
742,0,0,0
743,0,0,0
744,0,0,0
745,0,0,0
746,0,0,0
747,0,0,0
748,0,0,0
749,0,0,0
750,0,0,0
751,0,0,0
752,0.08,0.08,0.08
