,X1,X2,X3
47,-0.908137038,-130.6168909,-24.12374411
48,-0.63112984,-90.41122174,-24.12374411
49,-0.51965097,-83.05979616,-24.12374411
50,-0.47626818,-75.15766095,-24.12374411
51,-0.46424207,-75.15766095,-24.12374411
52,-0.461760275,-75.15766095,-24.12374411
53,-0.513042251,-95.40940174,-26.80416012
54,-0.71130585,-178.7338046,-30.09572467
55,-0.976262726,-234.6409726,-52.05585025
56,-0.953929254,-200.7188582,-121.9423651
57,-0.810887829,-224.4996516,-113.5937937
58,-0.806663701,-217.0467113,-111.6672003
59,-0.823009346,-217.0739322,-113.5937937
60,-0.808095939,-217.0926281,-113.0494452
61,-0.785479598,-199.0331024,-115.1992882
62,-0.786138211,-190.7177856,-111.6672003
63,-0.84980194,-199.0339629,-111.6672003
64,-1.083798346,-220.4854503,-114.5570904
65,-1.512456395,-195.2825176,-103.6378669
66,-1.766626287,-248.9453352,-66.11390362
67,-1.74958677,-251.7150954,-63.54511241
68,-1.617416021,-277.0301194,-47.46261634
69,-1.471397486,-257.3525405,-46.17822074
70,-1.188609387,-195.2355437,-26.80416012
71,-0.908137038,-130.6168909,-24.12374411
72,-0.63112984,-90.41122174,-24.12374411
73,-0.51965097,-83.05979616,-24.12374411
74,-0.47626818,-75.15766095,-25.08127481
75,-0.46424207,-75.15766095,-24.88976867
76,-0.461760275,-75.15766095,-25.08127481
77,-0.513042251,-95.40940174,-27.57018468
78,-0.71130585,-176.8020636,-30.09572467
79,-0.976262726,-235.209686,-52.05585025
80,-0.953929254,-201.1080415,-121.9423651
81,-0.810887829,-224.5308067,-113.5937937
82,-0.806663701,-216.967473,-111.6672003
83,-0.823009346,-217.0149735,-113.5937937
84,-0.808095939,-217.0514262,-113.0508678
85,-0.785479598,-199.0179373,-115.232139
86,-0.786138211,-190.6945595,-111.6672003
87,-0.84980194,-199.0181963,-111.6672003
88,-1.083798346,-220.4857641,-114.5915929
89,-1.512456395,-195.2825176,-103.7177665
90,-1.766626287,-248.9453352,-66.11390362
