,X1
848,0.038888
849,0.04196
850,0.040212
851,0.034256
852,0.0343
853,0.034304
854,0.032716
855,0.035576
856,0.040456
857,0.058216
858,0.056492
859,0.04078
860,0.037188
861,0.036008
862,0.034556
863,0.027528
864,0.031684
865,0.03078
866,0.029976
867,0.029292
868,0.029492
869,0.0291
870,0.033388
871,0.042928
872,0.04416
873,0.04626
874,0.046748
875,0.037784
876,0.034504
877,0.032276
878,0.031816
879,0.03878
880,0.038632
881,0.082848
882,0.0815
883,0.041632
884,0.036984
885,0.036728
886,0.035604
887,0.029716
888,0.036184
889,0.03416
890,0.031388
891,0.029668
892,0.028184
893,0.029456
894,0.030616
895,0.033372
896,0.033816
897,0.0393
898,0.040856
899,0.04012
900,0.03796
901,0.035676
902,0.034156
903,0.037524
904,0.037924
905,0.05398
906,0.056052
907,0.041952
908,0.037096
909,0.034048
910,0.033364
911,0.0341
912,0.034248
913,0.0347
914,0.033632
915,0.028792
916,0.02748
917,0.028664
918,0.029076
919,0.029524
920,0.030144
921,0.029224
922,0.030408
923,0.037616
924,0.039156
925,0.035104
926,0.032344
927,0.032284
928,0.032528
929,0.064636
930,0.070192
931,0.037296
932,0.0343
933,0.033988
934,0.032272
935,0.033324
936,0.026256
937,0.027144
938,0.026932
939,0.026288
940,0.026064
941,0.028912
942,0.032748
943,0.037284
944,0.046952
945,0.053476
946,0.056784
947,0.044524
948,0.041728
949,0.036048
950,0.033856
951,0.031976
952,0.032076
953,0.060704
954,0.060656
955,0.038344
956,0.03502
957,0.03392
958,0.033368
959,0.028328
960,0.03162
961,0.03154
962,0.027984
963,0.027872
964,0.027644
965,0.028184
966,0.035312
967,0.041584
968,0.0406
969,0.04384
970,0.039628
971,0.035808
972,0.034124
973,0.030656
974,0.029628
975,0.033736
976,0.033392
977,0.048728
978,0.046568
979,0.036396
980,0.035148
981,0.035108
982,0.033956
983,0.031216
984,0.029184
985,0.02874
986,0.027112
987,0.02616
988,0.025644
989,0.02764
990,0.031464
991,0.033348
992,0.033776
993,0.035544
994,0.037892
995,0.0373
996,0.037036
997,0.033412
998,0.03272
999,0.036476
1000,0.037664
1001,0.0579
1002,0.058232
1003,0.038844
1004,0.035732
1005,0.034476
1006,0.034104
1007,0.029324
1008,0.036012
1009,0.034932
1010,0.03292
1011,0.030288
1012,0.027772
1013,0.033216
1014,0.034844
1015,0.035592
1016,0.034628
1017,0.04142
1018,0.043776
1019,0.036892
1020,0.03784
1021,0.034324
1022,0.034516
1023,0.039288
1024,0.041116
1025,0.063988
1026,0.065544
1027,0.044108
1028,0.0402
1029,0.038332
1030,0.037356
1031,0.03368
1032,0.03074
1033,0.028292
1034,0.025884
1035,0.022096
1036,0.022308
1037,0.023572
1038,0.032924
1039,0.036744
1040,0.035836
1041,0.04052
1042,0.041516
1043,0.040492
1044,0.040232
1045,0.039132
1046,0.03636
1047,0.042408
1048,0.0425
1049,0.060372
1050,0.060968
1051,0.042536
1052,0.036364
1053,0.035088
1054,0.030904
1055,0.02966
1056,0.033192
1057,0.03096
1058,0.029956
1059,0.027136
1060,0.02598
1061,0.025996
1062,0.028072
1063,0.02974
1064,0.03324
1065,0.038548
1066,0.04612
1067,0.04556
1068,0.043804
1069,0.035068
1070,0.033736
1071,0.031288
1072,0.030408
1073,0.045856
1074,0.048808
1075,0.035208
1076,0.034904
1077,0.032628
1078,0.031292
1079,0.031836
1080,0.032336
1081,0.03178
1082,0.03066
1083,0.02702
1084,0.024904
1085,0.025012
1086,0.026256
1087,0.027404
1088,0.027812
1089,0.03144
1090,0.03184
1091,0.033164
1092,0.033252
1093,0.03164
1094,0.031192
1095,0.032212
1096,0.031608
1097,0.044684
1098,0.046864
1099,0.035244
1100,0.033148
1101,0.032092
1102,0.032724
1103,0.031648
1104,0.026552
1105,0.026664
1106,0.026032
1107,0.026024
1108,0.025888
1109,0.030388
1110,0.034732
1111,0.03482
1112,0.034504
1113,0.049168
1114,0.049152
1115,0.049116
1116,0.048744
1117,0.043748
1118,0.040524
1119,0.04414
1120,0.042736
1121,0.056
1122,0.058756
1123,0.038568
1124,0.037012
1125,0.0353
1126,0.033176
1127,0.02704
1128,0.030928
1129,0.026192
1130,0.02608
1131,0.024632
1132,0.0243
1133,0.027724
1134,0.03142
1135,0.032956
1136,0.033572
1137,0.03704
1138,0.0367
1139,0.031516
1140,0.031568
1141,0.031372
1142,0.031144
1143,0.036004
1144,0.036572
1145,0.05166
1146,0.056304
1147,0.043588
1148,0.03894
1149,0.03454
1150,0.0337
1151,0.029808
1152,0.026836
1153,0.025716
1154,0.024068
1155,0.023628
1156,0.02352
1157,0.02692
1158,0.027408
1159,0.031436
1160,0.030428
1161,0.034984
1162,0.033712
1163,0.0337
1164,0.03374
1165,0.032468
1166,0.031608
1167,0.033804
1168,0.034704
1169,0.044488
1170,0.0518
1171,0.037008
1172,0.035276
1173,0.0335
1174,0.032304
1175,0.026116
1176,0.027608
1177,0.030816
1178,0.03054
1179,0.029868
1180,0.029656
1181,0.029948
1182,0.033572
1183,0.035072
1184,0.031368
1185,0.031716
1186,0.0329
1187,0.032452
1188,0.032364
1189,0.031584
1190,0.03142
1191,0.034032
1192,0.03392
1193,0.04388
1194,0.047532
1195,0.035856
1196,0.034072
1197,0.03274
1198,0.032176
1199,0.02958
1200,0.02926
1201,0.029564
1202,0.029348
1203,0.028188
1204,0.025948
1205,0.030236
1206,0.03312
1207,0.032776
1208,0.032336
1209,0.042232
1210,0.043452
1211,0.041108
1212,0.039492
1213,0.034
1214,0.035044
1215,0.035992
1216,0.03588
1217,0.047936
1218,0.058212
1219,0.042696
1220,0.037096
1221,0.033228
1222,0.032464
1223,0.02854
1224,0.032964
1225,0.030936
1226,0.027232
1227,0.026204
1228,0.025368
1229,0.02602
1230,0.028908
1231,0.029744
1232,0.034032
1233,0.037116
1234,0.039852
1235,0.038292
1236,0.039328
1237,0.03474
1238,0.033708
1239,0.030256
1240,0.030152
1241,0.0508
1242,0.078044
1243,0.04726
1244,0.037224
1245,0.035644
1246,0.035168
1247,0.030424
1248,0.03308
1249,0.032424
1250,0.032332
1251,0.030628
1252,0.030736
1253,0.030772
1254,0.031108
1255,0.029852
1256,0.029996
1257,0.033928
1258,0.033304
1259,0.035348
1260,0.032436
1261,0.030576
1262,0.029748
1263,0.029268
1264,0.029684
1265,0.045544
1266,0.051628
1267,0.039216
1268,0.035432
1269,0.032224
1270,0.031936
1271,0.032664
1272,0.02828
1273,0.029336
1274,0.028572
1275,0.02512
1276,0.025144
1277,0.030636
1278,0.033708
1279,0.035324
1280,0.0344
1281,0.036068
1282,0.034388
1283,0.029852
1284,0.029668
1285,0.029484
1286,0.029372
1287,0.034148
1288,0.034792
1289,0.04232
1290,0.054184
1291,0.034956
1292,0.03382
1293,0.03186
1294,0.0301
1295,0.02826
1296,0.024004
1297,0.021912
1298,0.021444
1299,0.016368
